id,course_id,tee_box_name,hole_number,par,yardage,meters,handicap
00547f89-71bb-44ae-b7c2-398f95abf0fc,0f43bfb1-c569-4504-a7b6-d51056c9522e,White,6,5,,,2
00884e8f-fdb1-4317-a936-83e119fd7068,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow (w) Re-Rate 1,15,4,413,,
00ef85e4-32bc-4428-8721-080b47adae63,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,14,3,168,,
01dd04a2-fdf8-4364-bea6-3ebc12c70f88,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,14,3,155,,
028d4223-ca41-497d-a9ed-33d6e1ed2385,519f37fb-65ec-412a-a241-838c7a30a05d,Red Re-Rate 1,10,4,368,,
02e1e228-d770-41b6-a8fe-83ea0f1200a8,519f37fb-65ec-412a-a241-838c7a30a05d,White,7,4,,,13
037b8cb9-359f-4e4a-8e56-10bf53993f69,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,5,4,365,,
0434f31b-377e-4310-bda1-130cda315079,519f37fb-65ec-412a-a241-838c7a30a05d,Red Re-Rate 1,9,5,486,,
0500a001-d35c-428c-80e7-a8d743a027d4,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,5,4,428,,
0677d33b-e7f8-40bf-8e47-76be140bc872,519f37fb-65ec-412a-a241-838c7a30a05d,Red,8,4,380,,
068721e0-ce2a-4a40-b62c-622a404eee93,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,17,3,169,,
06f16f1d-0de5-4df1-889e-4eb40a9fe463,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,5,4,366,,
07535f7a-3367-4f3d-a696-50687f3148dc,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,14,3,160,,
08089919-f6bf-4019-bcf6-3d51d00a4d64,519f37fb-65ec-412a-a241-838c7a30a05d,White (w),10,4,401,,
082d9f85-d462-42c6-bbe9-75b5e0d8db99,519f37fb-65ec-412a-a241-838c7a30a05d,White,15,4,,,6
